,KPIs,,,,,,,,,,,,,,,
,Profile Field,Description,DB/Live,Frequency,Current Platfrom Status,KPI Extarction LOGIC,Metrics,DB/Live,Frequency,Current Platfrom Status,KPI Extarction LOGIC,Events,Frequency,DB/Live,Current Platfrom Status,KPI Extarction LOGIC
,Account Type,,DB,D-1,Available,,Bundle OnNet OG MOU,Live,Per Min,Available,"SELECT SUM(CHARGEOFDURATIONACCOUNTS)/60 ""Bundle OnNet OG MOU"" FROM OCS_REC PARTITION (P_20221127) WHERE CHARGEOFDURATIONACCOUNTS > 0
 AND calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2",Recharge,Per Min,Live,Available,OCS_VOU.CARDVALUEADDED/1000000
,Activation Date,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.ACTIVATION_DATE,Data 2G Revenue New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 AS ""Data 2G Revenue""
  FROM (SELECT A.CALLINGCELLID,
  A.ACCESSNETWORKADDRESS,
  A.CHARGEFROMPREPAID,
  A.TOTALFLUX,
  CASE
  WHEN SUBSTR (A.CALLINGCELLID, 1, 5) = '56F92'
  THEN
  '4G'
  WHEN A.CALLINGCELLID IS NULL
  AND A.ACCESSNETWORKADDRESS LIKE '102.64.73%'
  THEN
  '4G'
  ELSE
  B.NET_TYPE
  END
  NET_TYPE
  FROM (SELECT CALLINGCELLID, ACCESSNETWORKADDRESS, TOTALFLUX
  FROM OCS_DATA) A
  LEFT OUTER JOIN
  BIB_ADM.BASE_STATION_NEW_2020 B
  ON A.CALLINGCELLID = TO_CHAR (B.CGI))
  WHERE NET_TYPE = '2G';",Bundle Purchase,Per Min,Live,Available,Total SMS Bundled Revenue+Total Voice Bundle Revenue+Total Data Bundle Revenue
,CELL_ID,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.CELL_ID,Data 2G Usage New,Live,Per Min,Available,"SELECT SUM (TOTALFLUX) / 1024/1024 AS ""Data 2G Usage MB""
  FROM (SELECT A.CALLINGCELLID,
  A.ACCESSNETWORKADDRESS,
  A.CHARGEFROMPREPAID,
  A.TOTALFLUX,
  CASE
  WHEN SUBSTR (A.CALLINGCELLID, 1, 5) = '56F92'
  THEN
  '4G'
  WHEN A.CALLINGCELLID IS NULL
  AND A.ACCESSNETWORKADDRESS LIKE '102.64.73%'
  THEN
  '4G'
  ELSE
  B.NET_TYPE
  END
  NET_TYPE
  FROM (SELECT CALLINGCELLID, ACCESSNETWORKADDRESS, TOTALFLUX
  FROM OCS_DATA) A
  LEFT OUTER JOIN
  BIB_ADM.BASE_STATION_NEW_2020 B
  ON A.CALLINGCELLID = TO_CHAR (B.CGI))
  WHERE NET_TYPE = '2G';",,,,,
,Consumer Address,(Site Id),DB,D-1,Available,,Data 3G Revenue New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 AS ""Data 3G Revenue""
  FROM (SELECT A.CALLINGCELLID,
  A.ACCESSNETWORKADDRESS,
  A.CHARGEFROMPREPAID,
  A.TOTALFLUX,
  CASE
  WHEN SUBSTR (A.CALLINGCELLID, 1, 5) = '56F92'
  THEN
  '4G'
  WHEN A.CALLINGCELLID IS NULL
  AND A.ACCESSNETWORKADDRESS LIKE '102.64.73%'
  THEN
  '4G'
  ELSE
  B.NET_TYPE
  END
  NET_TYPE
  FROM (SELECT CALLINGCELLID, ACCESSNETWORKADDRESS, TOTALFLUX
  FROM OCS_DATA) A
  LEFT OUTER JOIN
  BIB_ADM.BASE_STATION_NEW_2020 B
  ON A.CALLINGCELLID = TO_CHAR (B.CGI))
  WHERE NET_TYPE = '3G';",,,,,
,Date of last activity,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.LAST_ACTIVITY_DATE,Data 3G Usage New,Live,Per Min,Available,"SELECT SUM (TOTALFLUX) / 1024/1024 AS ""Data 3G Usage MB""
  FROM (SELECT A.CALLINGCELLID,
  A.ACCESSNETWORKADDRESS,
  A.CHARGEFROMPREPAID,
  A.TOTALFLUX,
  CASE
  WHEN SUBSTR (A.CALLINGCELLID, 1, 5) = '56F92'
  THEN
  '4G'
  WHEN A.CALLINGCELLID IS NULL
  AND A.ACCESSNETWORKADDRESS LIKE '102.64.73%'
  THEN
  '4G'
  ELSE
  B.NET_TYPE
  END
  NET_TYPE
  FROM (SELECT CALLINGCELLID, ACCESSNETWORKADDRESS, TOTALFLUX
  FROM OCS_DATA) A
  LEFT OUTER JOIN
  BIB_ADM.BASE_STATION_NEW_2020 B
  ON A.CALLINGCELLID = TO_CHAR (B.CGI))
  WHERE NET_TYPE = '3G';",,,,,
,Device Category,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.DEVICE_CATEGORY,Data 4G Revenue New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 AS ""Data 4G Revenue""
  FROM (SELECT A.CALLINGCELLID,
  A.ACCESSNETWORKADDRESS,
  A.CHARGEFROMPREPAID,
  A.TOTALFLUX,
  CASE
  WHEN SUBSTR (A.CALLINGCELLID, 1, 5) = '56F92'
  THEN
  '4G'
  WHEN A.CALLINGCELLID IS NULL
  AND A.ACCESSNETWORKADDRESS LIKE '102.64.73%'
  THEN
  '4G'
  ELSE
  B.NET_TYPE
  END
  NET_TYPE
  FROM (SELECT CALLINGCELLID, ACCESSNETWORKADDRESS, TOTALFLUX
  FROM OCS_DATA) A
  LEFT OUTER JOIN
  BIB_ADM.BASE_STATION_NEW_2020 B
  ON A.CALLINGCELLID = TO_CHAR (B.CGI))
  WHERE NET_TYPE = '4G';",,,,,
,Device Type (4G/3G/2G),,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.DEVICE_TYPE,Data 4G Usage New,Live,Per Min,Available,"SELECT SUM (TOTALFLUX) / 1024/1024 AS ""Data 4G Usage MB""
  FROM (SELECT A.CALLINGCELLID,
  A.ACCESSNETWORKADDRESS,
  A.CHARGEFROMPREPAID,
  A.TOTALFLUX,
  CASE
  WHEN SUBSTR (A.CALLINGCELLID, 1, 5) = '56F92'
  THEN
  '4G'
  WHEN A.CALLINGCELLID IS NULL
  AND A.ACCESSNETWORKADDRESS LIKE '102.64.73%'
  THEN
  '4G'
  ELSE
  B.NET_TYPE
  END
  NET_TYPE
  FROM (SELECT CALLINGCELLID, ACCESSNETWORKADDRESS, TOTALFLUX
  FROM OCS_DATA) A
  LEFT OUTER JOIN
  BIB_ADM.BASE_STATION_NEW_2020 B
  ON A.CALLINGCELLID = TO_CHAR (B.CGI))
  WHERE NET_TYPE = '4G';",,,,,
,EOD_Balance,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.EOD_BALANCE,Data DOU,Live,Per Min,Available,OCS_DATA WHERE TOTALFLUX > 0,,,,,
,First Name,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.FIRST_NAME,Data Revenue Weekly,DB & Live,Per Min,Available,,,,,,
,Last Name,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.LAST_NAME,Data_DOU_Monthly,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.DATA_DOU,,,,,
,Last Recharge Date,,Live,Per Min,Available,OCS_VOU.TRADETIME,End of Day Balance,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.EOD_BALANCE,LIVE,Live CDRs,,,
,Last Recharge Value,,Live,Per Min,Available,OCS_VOU.CARDVALUEADDED/1000000,IDD OG MOU New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""IDD OG MOU""
 FROM OCS_REC WHERE ((CALLEDHOMENETWORKCODE = 101 AND CALLTYPE != 0) OR CALLEDHOMENETWORKCODE = -1) AND SERVICEFLOW != 2 AND ROAMSTATE != 3",DB,Data Base at D-1,,,
,Phone Brand,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.PHONE_BRAND,IDD OG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""IDD OG REV""
 FROM OCS_REC WHERE ((CALLEDHOMENETWORKCODE = 101 AND CALLTYPE != 0) OR CALLEDHOMENETWORKCODE = -1) AND SERVICEFLOW != 2 AND ROAMSTATE != 3",,,,,
,preferred Language,,DB,D-1,Available,,Offnet OG MOU New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""OFFNET OG MOU""
 FROM OCS_REC WHERE CALLEDHOMENETWORKCODE IN (102, 103, 104, 105, 106, 107, 108) AND CALLTYPE = 0 AND SERVICEFLOW != 2",,,,,
,Province,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.PROVINCE,Offnet OG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""OFFNET OG REV""
 FROM OCS_REC WHERE CALLEDHOMENETWORKCODE IN (102, 103, 104, 105, 106, 107, 108) AND CALLTYPE = 0 AND SERVICEFLOW != 2",,,,,
,RGS status,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.RGS_STATUS,Onnet OG Mou New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""ONNET OG MOU""
 FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2",,,,,
,Service_Class,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SERVICE_CLASS,Onnet OG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""ONNET OG REV""
 FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2",,,,,
,SIM Support,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SIM_SUPPORT,Payg OnNet OG MOU,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""ONNET OG MOU""
 FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2 AND CHARGEFROMPREPAID > 0",,,,,
,SIM Type (4G USIM /3G SIM/Normal),,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SIM_TYPE,Recharge DOU,Live,Per Min,Available,OCS_VOU WHERE CARDVALUEADDED > 0,,,,,
,Smartphone,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SMARTPHONE,Refill Amount,Live,Per Min,Available,OCS_VOU.CARDVALUEADDED/1000000,,,,,
,Subscriber Status,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SUBSCRIBER_STATUS,Refill Count,Live,Per Min,Available,SELECT COUNT(*) FROM OCS_VOU WHERE CARDVALUEADDED > 0,,,,,
,TAC,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.TAC,Total Data Bundled Revenue,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.DATA_BUNDLE_REVENUE,,,,,
,Churn Propensity Score,,,,Available,,Total Data Bundled Usage New,Live,Per Min,Available,SLECT SUM(CHARGEOFFLUXACCOUNTS)/1024/1024 FROM OCS_DATA WHERE TOTALFLUX > 0 AND CHARGEOFFLUXACCOUNTS > 0,,,,,
,Churn Propensity Score December,,,,Available,,Total Data PAYGO Revenue,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 AS ""Data PayGO Revenue"" from OCS_DATA",,,,,
